Date,Open,High,Low,Close,Adj Close,Volume,Code
2018-05-02,49480,49750,48970,49220,49220,579400,9983
2018-05-07,49500,49520,48600,48850,48850,494000,9983
2018-05-08,48500,48920,47940,48730,48730,537300,9983
2018-05-09,48640,49000,48460,48850,48850,332300,9983
2018-05-10,48900,49200,48570,48650,48650,320300,9983
2018-05-11,48950,49110,48470,49030,49030,533700,9983
2018-05-14,48950,49120,48570,48590,48590,371600,9983
2018-05-15,49000,49360,48910,49180,49180,448100,9983
2018-05-16,49000,49080,48450,48500,48500,456100,9983
2018-05-17,48690,48890,48590,48600,48600,377200,9983
2018-05-18,48900,49100,48560,48830,48830,467200,9983
2018-05-21,48830,49490,48800,49300,49300,343200,9983
2018-05-22,49450,49820,49290,49570,49570,373200,9983
2018-05-23,49120,49190,47810,47830,47830,738900,9983
2018-05-24,47730,47960,46880,47320,47320,559800,9983
2018-05-25,47300,47890,46730,47730,47730,446100,9983
2018-05-28,47910,48330,47720,48330,48330,345900,9983
2018-05-29,48460,48470,47540,47920,47920,421300,9983
2018-05-30,46910,47600,46780,47450,47450,681500,9983
2018-05-31,47880,48360,47530,47730,47730,946400,9983
2018-06-01,47120,47520,46680,46910,46910,548300,9983
2018-06-04,47200,47360,46750,47080,47080,381400,9983
2018-06-05,46580,47210,46100,47140,47140,623700,9983
2018-06-06,47490,48500,47220,48310,48310,608700,9983
2018-06-07,48550,49490,48550,49190,49190,793500,9983
2018-06-08,49500,49500,48800,49050,49050,983600,9983
2018-06-11,49280,50280,49150,50270,50270,525000,9983
2018-06-12,50670,51110,50160,50840,50840,719800,9983
2018-06-13,50710,50790,50330,50410,50410,373400,9983
2018-06-14,50200,50700,49940,50160,50160,505700,9983
2018-06-15,50880,51680,50600,51350,51350,741000,9983
2018-06-18,51040,51720,51010,51410,51410,441400,9983
2018-06-19,51380,51390,50020,50050,50050,615200,9983
2018-06-20,50500,51830,50400,51790,51790,614200,9983
2018-06-21,51460,53420,51210,52930,52930,952200,9983
2018-06-22,52000,53070,51790,52140,52140,830200,9983
2018-06-25,52010,52540,51520,51640,51640,477000,9983
2018-06-26,50960,51030,50190,50210,50210,695400,9983
2018-06-27,49990,50690,49880,50580,50580,551400,9983
2018-06-28,50670,50980,49690,50940,50940,647200,9983
2018-06-29,51160,51450,50640,50910,50910,605600,9983
2018-07-02,50800,50800,49250,49450,49450,610300,9983
2018-07-03,49870,50380,49010,49800,49800,745900,9983
2018-07-04,48700,49430,48430,48730,48730,731000,9983
2018-07-05,48620,48710,47260,47500,47500,931400,9983
2018-07-06,47640,48090,46900,47760,47760,808600,9983
2018-07-09,48100,48830,47710,47750,47750,593100,9983
2018-07-10,47880,48910,47720,48560,48560,621900,9983
2018-07-11,47960,48280,47320,47420,47420,648600,9983
2018-07-12,47730,49290,47530,49230,49230,709900,9983
2018-07-13,51550,53150,51000,52650,52650,1597000,9983
2018-07-17,52680,53120,52010,52810,52810,711600,9983
2018-07-18,53910,54400,53670,53880,53880,750500,9983
2018-07-19,54200,54510,52670,52670,52670,775900,9983
2018-07-20,52610,53540,52270,52930,52930,845700,9983
2018-07-23,51580,51650,49700,49900,49900,1391500,9983
2018-07-24,50450,50450,49110,49770,49770,781200,9983
2018-07-25,49270,49670,48710,49420,49420,644500,9983
2018-07-26,48070,48890,47810,48520,48520,913000,9983
2018-07-27,48650,48890,48090,48680,48680,562100,9983
2018-07-30,48390,48460,47620,47730,47730,601900,9983
2018-07-31,47570,49320,47110,48750,48750,1343300,9983
2018-08-01,48270,48500,47890,48040,48040,615100,9983
2018-08-02,47810,48060,47100,47320,47320,590300,9983
2018-08-03,48230,48420,48000,48280,48280,570600,9983
2018-08-06,48180,48610,47750,48320,48320,464800,9983
2018-08-07,48350,48360,47460,47720,47720,453800,9983
2018-08-08,47560,48080,47350,47480,47480,524500,9983
2018-08-09,47960,47960,47390,47620,47620,417300,9983
2018-08-10,47960,48090,47380,47410,47410,765500,9983
2018-08-13,47280,47380,46450,46590,46590,687500,9983
2018-08-14,47200,48460,47110,48460,48460,763200,9983
2018-08-15,48470,48610,48040,48240,48240,457200,9983
2018-08-16,47800,49430,47540,49270,49270,964100,9983
2018-08-17,49170,49470,48160,48200,48200,645800,9983
2018-08-20,48470,49140,48450,48960,48960,475900,9983
2018-08-21,48770,50270,48510,50090,50090,742200,9983
2018-08-22,50390,50780,49470,49730,49730,521200,9983
2018-08-23,50190,51170,50030,51100,51100,749200,9983
2018-08-24,51080,52300,51000,52020,52020,695000,9983
2018-08-27,52640,53020,52310,52660,52660,571200,9983
2018-08-28,52790,52950,51870,51880,51880,701300,9983
2018-08-29,51800,51870,51040,51050,51050,601400,9983
2018-08-30,51840,52060,51330,51440,51440,557100,9983
2018-08-31,51240,51860,51230,51810,51810,475100,9983
2018-09-03,51700,52520,51520,52370,52370,496900,9983
2018-09-04,52640,52850,51690,52200,52200,566300,9983
2018-09-05,53000,54400,52900,53850,53850,1113400,9983
2018-09-06,53200,54380,53180,54280,54280,674200,9983
2018-09-07,53690,54160,53430,53900,53900,661600,9983
2018-09-10,53540,53990,53010,53990,53990,586000,9983
2018-09-11,54690,55460,54520,55270,55270,732600,9983
2018-09-12,55790,55940,55030,55290,55290,662700,9983
2018-09-13,55560,56950,55380,56870,56870,755200,9983
2018-09-14,57880,58190,57180,58090,58090,1498200,9983
2018-09-18,58000,59490,57650,57660,57660,1339200,9983
2018-09-19,58490,58500,56230,56230,56230,1221400,9983
2018-09-20,56230,57200,56100,56910,56910,945200,9983
2018-09-21,57580,57700,56070,56800,56800,999800,9983
2018-09-25,56210,56330,55320,55380,55380,835200,9983
2018-09-26,55330,56520,55070,56280,56280,816200,9983
2018-09-27,56000,57100,55830,56720,56720,771500,9983
2018-09-28,57500,59010,56990,57920,57920,1297600,9983
2018-10-01,58400,59070,58070,58830,58830,805100,9983
2018-10-02,59010,59050,57820,58250,58250,1119100,9983
2018-10-03,58270,58850,57580,58850,58850,859700,9983
2018-10-04,58920,59080,57860,58310,58310,1069600,9983
2018-10-05,58000,58640,57320,57750,57750,856900,9983
2018-10-09,57470,58680,57330,58430,58430,865100,9983
2018-10-10,58600,59960,58250,59800,59800,855800,9983
2018-10-11,58500,59180,56580,57260,57260,1281300,9983
2018-10-12,56470,57780,54620,56070,56070,2327200,9983
2018-10-15,55500,55620,52930,53540,53540,1463600,9983
2018-10-16,53780,55660,53270,55660,55660,1230900,9983
2018-10-17,56530,57420,56360,56630,56630,1150600,9983
2018-10-18,56310,56940,55500,55830,55830,893200,9983
2018-10-19,54830,55940,54720,55940,55940,874300,9983
2018-10-22,55920,56800,55410,56470,56470,659300,9983
2018-10-23,56300,57220,55800,56000,56000,1081400,9983
2018-10-24,56200,57670,56090,57230,57230,1276700,9983
2018-10-25,55500,55810,54110,54400,54400,1212000,9983
2018-10-26,55550,56050,54600,55530,55530,1378900,9983
2018-10-29,56400,57110,55590,56030,56030,891400,9983
2018-10-30,55780,57560,55210,57150,57150,1052300,9983
2018-10-31,56580,57530,56350,57070,57070,970500,9983
2018-11-01,57070,58520,56980,58020,58020,852000,9983
2018-11-02,58000,60550,57670,60530,60530,1403900,9983
2018-11-05,58720,59040,57330,57650,57650,1526800,9983
2018-11-06,58030,58440,57630,58440,58440,797900,9983
2018-11-07,58930,61010,58870,60450,60450,1434400,9983
2018-11-08,61660,61930,60670,61070,61070,860000,9983
2018-11-09,61050,61520,60020,60290,60290,836100,9983
2018-11-12,60210,60920,60060,60800,60800,521300,9983
2018-11-13,59800,60150,58940,60120,60120,1091200,9983
2018-11-14,60120,60230,58650,59000,59000,680600,9983
2018-11-15,58590,59380,58390,59310,59310,640600,9983
2018-11-16,59270,60300,59100,59850,59850,674400,9983
2018-11-19,59520,59870,58540,58740,58740,573800,9983
2018-11-20,58200,58770,58000,58270,58270,533900,9983
2018-11-21,57490,58260,57320,57450,57450,597000,9983
2018-11-22,57610,57900,56180,56780,56780,748200,9983
2018-11-26,56500,57550,55630,57400,57400,939500,9983
2018-11-27,57400,57660,56910,57060,57060,589800,9983
2018-11-28,57610,59190,57380,59110,59110,757900,9983
2018-11-29,59800,59900,58890,59170,59170,610100,9983
2018-11-30,59100,59430,58210,59040,59040,692800,9983
2018-12-03,59210,59450,58410,58580,58580,625300,9983
2018-12-04,58300,58980,56960,56980,56980,917700,9983
2018-12-05,57300,58340,56780,57550,57550,953200,9983
2018-12-06,57540,57790,56420,57300,57300,817800,9983
2018-12-07,57200,59100,57180,58990,58990,752400,9983
2018-12-10,57990,58410,57300,57550,57550,940800,9983
2018-12-11,57920,58350,57560,58150,58150,828200,9983
2018-12-12,58670,59990,58490,59820,59820,962300,9983
2018-12-13,60380,61400,60280,61220,61220,723300,9983
2018-12-14,60950,61300,60300,60770,60770,1606900,9983
2018-12-17,60780,61170,60400,60990,60990,488200,9983
2018-12-18,60490,60600,59620,60010,60010,817400,9983
2018-12-19,59990,60120,59000,59000,59000,692000,9983
2018-12-20,58620,59140,57410,58240,58240,1212300,9983
2018-12-21,58170,58850,57420,58840,58840,1145000,9983
2018-12-25,56840,57930,56000,56410,56410,1241300,9983
2018-12-26,56980,57490,54550,55890,55890,1016800,9983
2018-12-27,57850,58720,56500,56620,56620,1606700,9983
2018-12-28,56440,57110,55560,56370,56370,923500,9983
